model,perturbation method,source split,example_id,label,hypothesis,original premise,perturbed premise
mlp,adjrel,matched,2118,0,All of the client's legal problems are supposed to be identified.,The way we try to approach it is to identify every legal problem that a client has.,"The way we try to approach it is to identify every problem, which is legal, that a client has."
mlp,adjrel,matched,2937,0,I didn't say you were a mandrake-man.,I never said you were a mandrake-man.,"I never said you were a -man, who is mandrake."
mlp,adjrel,matched,3188,0,"Along side the road leading to the entrance, you will pass fields of tomatoes.","As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes.","As the road climbs toward the entrance, you'll pass fields, which are full, of Santorini's tomatoes, which are famed, growing on the slopes, which are steep."
mlp,adjrel,matched,3598,1,One of the Gothic buildings that has been restored is a church.,Many Gothic and Renaissance buildings have been lovingly restored.,"Gothic and Renaissance buildings, which are Many, have been lovingly restored."
mlp,adjrel,matched,3950,1,Boats that are not flat-bottomed are illegal on the river.,The river-beds are mostly too shallow for anything but flat-bottomed boats.,"The river-beds are mostly too shallow for anything but flat-boats, which are bottomed."
mlp,adjrel,matched,4016,0,Montmarte is an essential piece of Paris mythology.,"Long famous as the home of artists and bohemians, who call it La Butte ( The Mound ), Montmartre is an essential piece of Paris mythology.","Long famous as the home of artists and bohemians, who call it La Butte ( The Mound ), Montmartre is an piece, which is essential, of Paris mythology."
mlp,adjrel,matched,4168,0,"Lakshmi is Vishnu's wife, and the goddess of good fortune.",Vishnu's wife Lakshmi is goddess of good fortune.,"Vishnu's wife Lakshmi is goddess of fortune, which is good."
mlp,adjrel,matched,4433,1,Anthem inc has crazy fees on their checks,"But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.","But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly company, which is traded."
mlp,adjrel,matched,4462,2,Blacks braid their hair because they're forced to.,Black professionals braid their hair to display their ethnic pride.,"professionals, which are Black, braid their hair to display their pride, which is ethnic."
mlp,adjrel,matched,4491,0,If the United States had maximized their potential.,if the United States had used full conventional power.,"if the United States had used power, which is full and conventional."
mlp,adjrel,matched,4663,2,An 808(2) is always applicable to public procedure.,"a 808(2) only applies if the agency finds with good cause that notice and public procedure thereon are impracticable, unnecessary, or contrary to the public interest.","a 808(2) only applies if the agency finds with cause, which is good, that notice and procedure, which is public, thereon are impracticable, unnecessary, or contrary to the interest, which is public."
mlp,adjrel,matched,4991,1,If I were somewhere else I would be getting paid. ,and uh you know it's like they they consider that but it would be the same way here you know it's like if if you had to do it you know you have a big sign i'm sorry i don't get paid you know,"and uh you know it's like they they consider that but it would be the way, which is same, here you know it's like if if you had to do it you know you have a sign, which is big, i'm sorry i don't get paid you know"
mlp,adjrel,matched,5140,2,We are not advocating enhanced reporting in connection with key federal performance.,We are also advocating enhanced reporting in connection with key federal performance and projection information.,"We are also advocating reporting, which is enhanced, in connection with performance, which is key and federal, and projection information."
mlp,adjrel,matched,5537,1,The French government paid first months rent to get the volcano-zone residents resettled.,"Some 72,000 volcano-zone residents were evacuated at great cost to the French government.","Some 72,000 volcano-zone residents were evacuated at cost, which is great, to the government, which is French."
mlp,adjrel,matched,5541,0,"Markets, hot springs, and ski slopes make up some of the other attractions here.","Other attractions include hot springs, a market, and the forests and ski-slopes of nearby Uluda .","attractions, which are Other, include springs, which are hot, a market, and the forests and ski-slopes of Uluda, which is nearby ."
mlp,adjrel,matched,5676,0,Public confidence can be difficult to reestablish.,Challenges to Restore Public Confidence in,"Challenges to Restore Confidence, which is Public, in"
mlp,adjrel,matched,5922,0,The book has quotes from various people including Lincoln and Jefferson.,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.","The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with pomposity, which is equal."
mlp,adjrel,matched,6564,0,"After the first blow, your man wouldn't have remained conscious.",Your man wouldn't have remained conscious after the first blow.,"Your man wouldn't have remained conscious after the blow, which is first."
mlp,adjrel,matched,7041,0,"After the Vatican II, Catholicism became less insular in its focus.",Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages.,"Vatican II gave rise to a less and more outward-looking Catholicism, which is hierarchical, and set the stage for once-innovations, which are unthinkable, like plainclothes nuns and the celebration of the Mass in English and languages, which are other and modern."
mlp,adjrel,matched,7254,0,The contrast between the highlands and the coast were easily marked.,The contrast between the landscape of the central highlands and the south coast could not be more marked.,"The contrast between the landscape of the highlands, which are central, and the coast, which is south, could not be more marked."
mlp,adjrel,mismatched,7538,0,The staff at the White House kept an eye on the news.,"In the absence of information that the crash was anything other than an accident, the White House staff monitored the news as they went ahead with their regular schedules.","In the absence of information that the crash was anything other than an accident, the White House staff monitored the news as they went ahead with their schedules, which are regular."
mlp,adjrel,mismatched,7711,0,"It is safe to assume the manufacturing lead time, or time required to go from production order to a product ready for shipping and retail, is less than one week.",Assume that the manufacturing lead time'the amount of time required to go from a production order to a product ready for shipping to retail'is less than one week.,"Assume that the manufacturing lead time'the amount of time required to go from a production order to a product, which is ready, for shipping to retail'is less than one week."
mlp,adjrel,mismatched,7894,2,"The man is a stripper, and a damn good one at that.","He worked, he's a teacher, and at that time he worked as the principal of that school, of that school, because it was a, like a high school, there was, from first (grade) to high school.","He worked, he's a teacher, and at that time he worked as the principal of that school, of that school, because it was a, like a school, which is high, there was, from (grade, which is first) to school, which is high."
mlp,adjrel,mismatched,8233,2,The British Interplanetary Society Journal space warp is restricted to non fictional use.,"Except for its origin, in the British Interplanetary Society Journal, space warp has been restricted to fictional use.","Except for its origin, in the British Interplanetary Society Journal, space warp has been restricted to use, which is fictional."
mlp,adjrel,mismatched,8480,1,Nawaf and Salem al Hazmi entered the checkpoint ten minutes later.,"A short time later, Nawaf and Salem al Hazmi entered the same checkpoint.","A time, which is short, later, Nawaf and Salem al Hazmi entered the checkpoint, which is same."
mlp,adjrel,mismatched,8894,0,The first business that he ever opened was a small construction firm out of New Jersey.,"In 1971, he opened is first business, a small New Jersey construction firm.","In 1971, he opened is business, which is first, a New Jersey construction firm, which is small."
mlp,adjrel,mismatched,8899,0,The great Gaston county. ,// The fine county of Gaston.,"// The county, which is fine, of Gaston."
mlp,adjrel,mismatched,9135,0,The average tuition for a one-day C.E. course is over $100. ,The average tuition for a one-day C.E. course is about $125.,"The tuition, which is average, for a one-day C.E. course is about $125."
mlp,adjrel,mismatched,9144,2,I never liked living in this place.,"I guess I want to say that it's been a real positive experience living here, because my, my mother really wants to move back up north because that's where she's from.","I guess I want to say that it's been a real experience, which is positive, living here, because my, my mother really wants to move back up north because that's where she's from."
mlp,adjrel,mismatched,10075,0,Fighter aircraft were authorized to engage the plane.,The Vice President authorized fighter aircraft to engage the inbound plane.,"The Vice President authorized fighter aircraft to engage the plane, which is inbound."
mlp,adjrel,mismatched,10292,2,Efforts to curb sweat shops have just started and go back one day.,"Indeed, efforts to use public concern, and at times outrage, to tackle the sweatshop problem go back to the early part of this century.","Indeed, efforts to use concern, which is public, and at times outrage, to tackle the sweatshop problem go back to the part, which is early, of this century."
mlp,adjrel,mismatched,10580,1,Private practice dental hygiene is more rewarding than in community settings.,"Dental hygiene is proving to be an exciting and rewarding career, both in private practice and community settings.","hygiene, which is Dental, is proving to be an and rewarding career, which is exciting, both in practice, which is private, and community settings."
mlp,adjrel,mismatched,10641,0,A person wrote some shit on the wall.,"But the power of words is such that I contend their impact is totally lost if not treated  somehow, there is a difference between  Someone had written shit on the wall  and  Some asshole had written shit on the wall : the writer of the former has more credibility; the writer of the latter was, very likely, the very asshole who had written shit on the wall.","But the power of words is such that I contend their impact is totally lost if not treated  somehow, there is a difference between  Someone had written shit on the wall  and  Some asshole had written shit on the wall : the writer of the former has credibility, which is more; the writer of the latter was, very likely, the asshole, which is very, who had written shit on the wall."
mlp,adjrel,mismatched,10707,0,Using similar product data is commonly used as a forecast method.,"A common approach is to forecast  by analogy, using data for similar products that have been on the market previously.","A approach, which is common, is to forecast  by analogy, using data for products, which are similar, that have been on the market previously."
mlp,adjrel,mismatched,11639,0,The group was having a discussion about where to fly to.,"About this time, Card, the lead Secret Service agent, the President's military aide, and the pilot were conferring on a possible destination for Air Force One.","About this time, Card, the Secret Service agent, who is lead, the President's aide, which is military, and the pilot were conferring on a destination, which is possible, for Air Force One."
mlp,adjrel,mismatched,12443,0,Manuel Torres is an Andalusian artist.,"He quotes an Andalusian artist, Manuel Torres, as having exclaimed of composer Manuel de Falla's Nocturno del Generalife ,  Todo lo que tiene sonidos negros tiene duende  (`All that has black sounds has duende ').","He quotes an artist, which is Andalusian, Manuel Torres, as having exclaimed of composer Manuel de Falla's Nocturno del Generalife ,  Todo lo que tiene sonidos negros tiene duende  (`All that has sounds, which are black, has duende ')."
mlp,adjrel,mismatched,12940,2,Did he let you watch tv?,Did he ever tell you any other stories?,"Did he ever tell you any stories, which are other?"
mlp,adjrel,mismatched,13813,0,"The more pieces in a marker, then the more effort is needed in order to make an efficient marker for a specific width.","The more pieces in a marker, the more effort required to make an efficient marker of a given width.","The pieces, which are more, in a marker, the effort, which is more, required to make an marker, which is efficient, of a width, which is given."
mlp,adjrel,mismatched,13906,0,It's hard to make any sort of connection between the author's life and their work. ,It is difficult to make any sensible connection between the lives of authors and their creations.,"It is difficult to make any connection, which is sensible, between the lives of authors and their creations."
mlp,adjrel,mismatched,14534,2,There were no other extremists with followings.,"Other extremists had, and have, followings of their own.","extremists, which are Other, had, and have, followings of their own."
mlp,passive,matched,23,0,I will hang him.,"On my honour, I will hang him as high as Haman!""","Him was hanged by I"""
mlp,passive,matched,151,0,Agency officials need to identify the components that helped their employees improve their performances.,"From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.",Agency officials was asked by we.
mlp,passive,matched,1084,0,Barnam puffed out his chest when Jon looked at him.,"As Jon looked at him, Barnam puffed out his chest.",His chest was puffed by Barnam.
mlp,passive,matched,1137,1,"Baseball should be about the sport, not advertisements.","Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.","The ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball was disguised by Improvements in architecture , regaining intimate space and scale and all the rest."
mlp,passive,matched,1322,0,Fantastic birds and butterflies can be seen being made of paper in the kampung workshops.,"In kampung workshops you can watch fantastic birds and butterflies being made of paper (and increasingly, nowadays, of plastic, too) drawn over strong, flexible bamboo frames.",Fantastic birds and butterflies being made of paper was watched by you.
mlp,passive,matched,1613,0,That worked for me when I did it throughout college,yeah i know and i did that all through college and it worked too,That was done by i.
mlp,passive,matched,1788,2,Ferdinand and Isabella completed the Reconquest to establish a Muslim Spain.,"A newly unified Christian Spain under the Catholic Monarchs, Ferdinand and Isabella, completed the Reconquest, defeating the only Moorish enclave left on the Iberian peninsula, Granada, in 1492.","The Reconquest was completed by a newly unified Christian Spain under the Catholic Monarchs , Ferdinand and Isabella ,."
mlp,passive,matched,3188,0,"Along side the road leading to the entrance, you will pass fields of tomatoes.","As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes.",Fields full of Santorini's famed tomatoes growing on the steep slopes was passed by you.
mlp,passive,matched,3276,0,The paper did not explain that.,Because the paper did not say that.,That was said by the paper.
mlp,passive,matched,4139,2,The analysis is done on simplistic computers ,This step of the analysis employs complex computer models that simulate the transport and transformation of emitted pollutants in the atmosphere.,Complex computer models that simulate the transport and transformation of emitted pollutants in the atmosphere was employed by this step of the analysis.
mlp,passive,matched,4246,1,They were not always crooks.,At the pictures the crooks always have a restoorant in the Underworld.,A restoorant in the Underworld was had by the crooks.
mlp,passive,matched,4491,0,If the United States had maximized their potential.,if the United States had used full conventional power.,Full conventional power was used by the United States.
mlp,passive,matched,4614,2,The vandals only stole the stones on onyx.,"Sadly, vandals removed all the tomb's spectacular treasures, but they did leave the gentle beauty of rose and poppies in rich inlaid stones of onyx, green chrysolite, carnelian, and variegated agate.",All the tomb's spectacular treasures was removed by vandals.
mlp,passive,matched,4991,1,If I were somewhere else I would be getting paid. ,and uh you know it's like they they consider that but it would be the same way here you know it's like if if you had to do it you know you have a big sign i'm sorry i don't get paid you know,A big sign i'm sorry i don't get paid you know was had by you.
mlp,passive,matched,5140,2,We are not advocating enhanced reporting in connection with key federal performance.,We are also advocating enhanced reporting in connection with key federal performance and projection information.,Enhanced reporting in connection with key federal performance and projection information was advocated by We.
mlp,passive,matched,5195,0,He lightly pressed blood from a pain onto the carcass.,"To keep the colors fresh, he dabbed the carcass with blood from a pail, then grabbed his paintbrushes to capture those lurid reds on canvas.",The carcass was dabbed by he.
mlp,passive,matched,5253,0,Old European colonies were liberated.,The  liberation  of these old European colonies created the basis for postwar independence movements proclaiming the Japanese slogan  Asia for the Asians.  ,The basis for postwar independence movements proclaiming the Japanese was created by the   liberation   of these old European colonies.
mlp,passive,matched,5600,0,I am unable to jump since of the pain.,i can't do any jumping up and down because it makes it hurt,Any jumping up and down was done by i.
mlp,passive,matched,5818,2,The spear smacked the man in the face. ,The spear missed Vrenna by only a hand-span.,Vrenna was missed by the spear.
mlp,passive,matched,6371,0,On his Birthday Strom Thurmond announced his retirement from the Senate Armed Services Committee in one year.,"Strom Thurmond , R-S.C., celebrated his 95 th birthday by announcing that he will relinquish the chairmanship of the Senate Armed Services Committee a year from now.","His 95 th birthday was celebrated by Strom Thurmond , R - S.C. ,."
mlp,passive,matched,6649,2,They don't want to lower costs. ,(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.,Costs was reduced by it.
mlp,passive,matched,6740,0,We need men to help us spike the river.,We will also need any able bodied men to help us spike the river.,Any able bodied men was needed by We.
mlp,passive,matched,6932,0,"Fresh products of Irelands seas, rivers, and farms are what New Irish Cuisine is built upon.  ","Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.",International restaurants galore was had by Dublin.
mlp,passive,matched,7011,0,Some firsts are able to perform business functions at different costs.,"That is, businesses commonly contract out any function that can be done by another firm at a lower cost.",Any function that can be done by another firm at a lower cost was contracted by businesses.
mlp,passive,matched,7480,0,You can design your own plate or whole dinner service in Hong Kong.,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.","A plate, or even a whole dinner service, was had by you."
mlp,passive,mismatched,7523,0,"You got information yet, United 93?"," United nine three, have you got information on that yet?",Information on that was got by you?
mlp,passive,mismatched,8823,0,FAA control centers get information without necessarily sharing it with other centers.,FAA Control Centers often receive information and make operational decisions independently of one another.,Information was received by FAA Control Centers.
mlp,passive,mismatched,8837,0,"The law school received only $18,114 in matching gifts in the year 1990.","In 1990, the law school received only $18,114 in matching gifts from 15 companies.","Only $18,114 in matching gifts from 15 companies was received by the law school."
mlp,passive,mismatched,9353,0,You composed this totally on your own.,You wrote this out all by yourself.,This was written by You.
mlp,passive,mismatched,10245,0,Please give a gift to Herron School of Art for the end of the year.,As you review the gifts you've made this year I please consider a year-end gift to Herron School of Art.,A year-end gift was considered by I.
mlp,passive,mismatched,11650,2,We both hid under the covers.,"So, then, I grabbed him, and when I grabbed him, I put him under the bed, and I went outside.",Him was grabbed by I.
mlp,passive,mismatched,11751,1,The distributor could potentially lose out due to this method.,"And, instead of providing an open-ended guarantee on prices to its distributors, the company would guarantee the price for only two weeks after purchase by the distributor, refusing to take back computers unless they malfunctioned.",The price was guaranteed by the company.
mlp,passive,mismatched,12101,0,RHD has the hard evidence at hand,"On the other hand, I do not have the hard evidence at hand and assume that the RHD does.",The hard evidence at hand was had by I.
mlp,passive,mismatched,12253,0,Do you have any recollection of what sort of stuff were your initial reading materials?,"Um, what kind of things did you remember reading when you started to read?",What kind of things was remembered by you?
mlp,passive,mismatched,12351,1,Hanging fires are not a good thing. ,"The opposite of point-blank is hanging fire , `undecided, up in the air.",Fire was hanged by the opposite of point - blank.
mlp,passive,mismatched,12443,0,Manuel Torres is an Andalusian artist.,"He quotes an Andalusian artist, Manuel Torres, as having exclaimed of composer Manuel de Falla's Nocturno del Generalife ,  Todo lo que tiene sonidos negros tiene duende  (`All that has black sounds has duende ').","As having exclaimed of composer Manuel de Falla's Nocturno del Generalife ,  Todo lo que tiene sonidos negros tiene duende  (` was quoted by He."
mlp,passive,mismatched,12448,0,That thing cannot damage you., It can't hurt you.,You was hurt by   It.
mlp,passive,mismatched,12606,1,Feminists have their own agenda to pander to,Feminists concerned about language relentlessly reveal language's capacity to discriminate against women or to render them invisible.,Language's capacity to discriminate against women or to render them invisible was revealed by Feminists concerned about language.
mlp,passive,mismatched,12854,2,Membership is not at all contingent on the way in which language is used.,"Oftener than not, use of language establishes membership and social-cum-educational rank as clearly as any parchment.",Membership and social-cum-educational rank was established by use of language.
mlp,passive,mismatched,12940,2,Did he let you watch tv?,Did he ever tell you any other stories?,Any other stories was told by he?
mlp,passive,mismatched,13032,0,The possibility remained that were were a resource to be used by al Qaeda.,"Nevertheless, they constituted a potential resource for al Qaeda.",A potential resource for al Qaeda was constituted by they.
mlp,passive,mismatched,13200,0,"In order to continue making you proud of your degree from this institution, I urge you to support your alma mater.",I urge you to support your alma mater so that we can continue to make you proud of the degree that you hold from this institution.,You was urged by I.
mlp,passive,mismatched,13270,0,The news that two aircraft had slammed into the World Trade Center became available to the passengers.,"They enabled the passengers to gain critical information, including the news that two aircraft had slammed into the World Trade Center.",The passengers was enabled by They.
mlp,passive,mismatched,13384,0,The report stated that American 11 is still in the air and heading towards Washington.,"I just had a report that American 11 is still in the air, and it's on its way towards-heading towards Washington.",A report that American 11 is still in the air was had by I.
mlp,passive,mismatched,13603,0,Bin Ladin traveled away from Sudan in 1996.,"In any case, on May 19, 1996, Bin Ladin left Sudan-significantly weakened, despite his ambitions and organizational skills.",Sudan was left by Bin Ladin.
mlp,passive,mismatched,13770,2,"You should feel at liberty to move around as you like,","If you try to make any moves, you'll endanger yourself and the airplane.",Yourself and the airplane was endangered by you.
mlp,passive,mismatched,14022,0,We were outside before ten o'clock.,We were putting siding on her house and beat on the door nobody comes to the door it's summertime everybody sleeping until 10:00.,Siding was put by We.
mlp,passive,mismatched,14531,0,Our programs can save lives.,Our free educational programs can save lives.,Lives was saved by Our free educational programs.
mlp,passive,mismatched,14632,2,"We will be giving out prizes from the raffle, but there will be no refreshments.","In addition, we will have soft drinks and a raffle, so that you can walk home with a great prize!",Soft drinks and a raffle was had by we!
mlp,passive,mismatched,14661,0,When an infant is attached to their caregiver they actively seek contact and comfort from them. ,"Securely attached infants actively seek contact with and are easily consoled by their familiar, responsive caregiver.",Contact with was sought by Securely attached infants.
mlp,passive,mismatched,14698,0,Airspace was cleared by the FFA.,The FAA cleared the airspace.,The airspace was cleared by the FAA.
mlp,passive,mismatched,14815,0,"We have to make do with what he have for now, which is precious little.","Perhaps one day we shall find an Etruscan library, buried deep in the Italian countryside; but for the present, we have to make do with what we have, which is precious little.",An Etruscan library was found by we.
mlp,pp,matched,641,1,Prior to becoming a Greek trading post the town was thought to have been a Macedonian fishing village.,"An ancient Greek trading post, the town manages to combine the atmosphere of a resort with a gutsy, bustling city life.","An ancient Greek trading post, the town in the scenario manages to combine the atmosphere of a resort with a gutsy, bustling city life."
mlp,pp,matched,678,2,The book was published in the 21st century.,"Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.","Mack Leeat that point , Body Servant of General Robert E. Lee Through the Civil War , published in 1918."
mlp,pp,matched,1312,1,"In medieval times, the fortress withstood many attacks.",At the top of the hill is the imposing medieval fortress of Kadifekale.,At the top in the scenario of the hill is the imposing medieval fortress of Kadifekale.
mlp,pp,matched,1313,0,What are we going to eat for lunch?,What have we for lunch? ,What at that instance have we for lunch?
mlp,pp,matched,1358,0,The French map of 1778 shows the theater of war between the British and Americans.,"There are slave irons, traditional island costumes, and an interesting French map of 1778 showing the theatre de la guerre (theater of war) between the Americans and the British.","There are slave ironsat that instance , traditional island costumes, and an interesting French map of 1778 showing the theatre de la guerre (theater of war) between the Americans and the British."
mlp,pp,matched,1548,0,A lot of legal aid cases go unassisted each year.,"As Russell points out, some 400,000 legal aid cases go unassisted each year.","As Russell at the time points out, some 400,000 legal aid cases go unassisted each year."
mlp,pp,matched,1897,0,They were living in a land filled with turmoil.,The world ripped apart around them replaced with a world of fear and blood and fire.,The world which we are talking about ripped apart around them replaced with a world of fear and blood and fire.
mlp,pp,matched,2694,0,Borker said to never trust a Sather.,"Never trust a Sather, Bork said softly.","Never trust a Satherin question , Bork said softly."
mlp,pp,matched,2723,0,I am a fit person.,well um i uh exercise regularly i work at a university and i swim almost everyday,well um i in this case uh exercise regularly i work at a university and i swim almost everyday
mlp,pp,matched,3278,0,Howard Berman is a Democrat of the House.,"Howard Berman of California, an influential Democrat on the House International Relations Committee.","Howard Berman which we are talking about of California, an influential Democrat on the House International Relations Committee."
mlp,pp,matched,3934,2,They have a policy against incentives. ,right well there's yeah there there's going to be some measure of incentive uh reward or whatever but the reward ultimately ultimately comes down to what you want,right well there's yeah there there's going to be some measure at that moment of incentive uh reward or whatever but the reward ultimately ultimately comes down to what you want
mlp,pp,matched,4449,0,I am in the dark as to who won the pennant last year,but i think let's see the teams that were there last year were see somebody from California i don't even know who won the pennant last year,but i in this case think let's see the teams that were there last year were see somebody from California i don't even know who won the pennant last year
mlp,pp,matched,4491,0,If the United States had maximized their potential.,if the United States had used full conventional power.,if the United States in question had used full conventional power.
mlp,pp,matched,4809,2,Currently you can only book activities with Black Sea Boating.,"All the Eilat activities can be booked through Red Sea Sports (see Scuba Diving, below).","All the Eilat activities at that instance can be booked through Red Sea Sports (see Scuba Diving, below)."
mlp,pp,matched,5066,1,Sandstone and granite were chosen as the materials for the Baroque church of Bom Jesus because of how sturdy they are.,"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.","Sandstone at that point and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar."
mlp,pp,matched,5344,1,The CIO has many things to consider ,Initiatives that we suggested for the CIO Council to consider,Initiatives at that moment that we suggested for the CIO Council to consider
mlp,pp,matched,5454,0,The codes have caused some of my friends to become Orthodox.,Acquaintances of mine have become Orthodox because of the codes.,Acquaintances in the scenario of mine have become Orthodox because of the codes.
mlp,pp,matched,5600,0,I am unable to jump since of the pain.,i can't do any jumping up and down because it makes it hurt,i in the scenario can't do any jumping up and down because it makes it hurt
mlp,pp,matched,5632,1,They approached as the door was opened.,The door opened and Severn stepped out.,The door at that moment opened and Severn stepped out.
mlp,pp,matched,5922,0,The book has quotes from various people including Lincoln and Jefferson.,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.","The book at that instance is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity."
mlp,pp,matched,6040,2,Boston solo Eleanor Newhoff won.,Among runners-up is Boston solo Eleanor Newhoff.,Among runnerswhich we are talking about -up is Boston solo Eleanor Newhoff.
mlp,pp,matched,6081,2,Alfred Inglethorp,"Bauerstein.""","Bauersteinin this case ."""
mlp,pp,matched,6376,1,Nowadays there is so much pollution that Agra has had to take measures to protect its monuments.,Today it is the effects of pollution that are taking their toll on Agra's monuments.,Today it in question is the effects of pollution that are taking their toll on Agra's monuments.
mlp,pp,matched,7024,1,The manual has increased the utilization of poverty law services.,"In addition, we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law.","In additionat the time , we supported the creation of a 250-page Poverty Law Manual that introduces advocates to the fundamentals of poverty law."
mlp,pp,matched,7073,0,There are books that have each person's name.,Inside are leather-bound regimental books with each serviceperson's name duly inscribed.,Inside are leather-bound regimental books in this case with each serviceperson's name duly inscribed.
mlp,pp,matched,7110,0,"He got lost in loops of worry, but snapped himself back to his problem.", He found himself thinking in circles of worry and pulled himself back to his problem.,He which we are talking about found himself thinking in circles of worry and pulled himself back to his problem.
mlp,pp,matched,7254,0,The contrast between the highlands and the coast were easily marked.,The contrast between the landscape of the central highlands and the south coast could not be more marked.,The contrast in question between the landscape of the central highlands and the south coast could not be more marked.
mlp,pp,mismatched,7536,0,Societies have less trouble noticing what is central in other cultures.,"Societies seldom see what is central in their own cultures, having much less trouble identifying it in the cultures of others.","Societies in the scenario seldom see what is central in their own cultures, having much less trouble identifying it in the cultures of others."
mlp,pp,mismatched,7538,0,The staff at the White House kept an eye on the news.,"In the absence of information that the crash was anything other than an accident, the White House staff monitored the news as they went ahead with their regular schedules.","In the absence at that moment of information that the crash was anything other than an accident, the White House staff monitored the news as they went ahead with their regular schedules."
mlp,pp,mismatched,7737,0,This is anything but a newsletter.,This is not newsletter.,This at that point is not newsletter.
mlp,pp,mismatched,8004,0,Innovation and expansion in how they use the four practices is something some suppliers pursued.,"In contrast, suppliers that have continued to innovate and expand their use of the four practices, as well as other activities described in previous chapters, keep outperforming the industry as a whole.","In contraston that occasion , suppliers that have continued to innovate and expand their use of the four practices, as well as other activities described in previous chapters, keep outperforming the industry as a whole."
mlp,pp,mismatched,8042,0,This amount will triple in 1996.,"In 1996, these figures will triple.","In 1996, these figures at that moment will triple."
mlp,pp,mismatched,8199,0,"Even though the publisher unrevised proofs, they insisted that an index would be published along with it. ","The publisher sent unrevised bound proofs from which this review was prepared; unfortunately, there was no proof of an index, but the publisher has assured me that there will be one in the published book, a rather essential ingredient of a work with this title.","The publisher at that moment sent unrevised bound proofs from which this review was prepared; unfortunately, there was no proof of an index, but the publisher has assured me that there will be one in the published book, a rather essential ingredient of a work with this title."
mlp,pp,mismatched,8229,1,"If it gets too hard, they will all give up.  ","The going gets tougher, however, as the two meanings of the answer move further ","The going at that moment gets tougher, however, as the two meanings of the answer move further"
mlp,pp,mismatched,8480,1,Nawaf and Salem al Hazmi entered the checkpoint ten minutes later.,"A short time later, Nawaf and Salem al Hazmi entered the same checkpoint.","A short time later, Nawaf in the scenario and Salem al Hazmi entered the same checkpoint."
mlp,pp,mismatched,8572,0,The funding from the state doesn't cover everything else.,"Even though we receive operating funds from the state, there are a myriad of additional expenses to be met, such as welding equipment for sculpture, pottery wheels for ceramics, and computers for graphics.","Even though we at that moment receive operating funds from the state, there are a myriad of additional expenses to be met, such as welding equipment for sculpture, pottery wheels for ceramics, and computers for graphics."
mlp,pp,mismatched,8837,0,"The law school received only $18,114 in matching gifts in the year 1990.","In 1990, the law school received only $18,114 in matching gifts from 15 companies.","In 1990, the law school which we are talking about received only $18,114 in matching gifts from 15 companies."
mlp,pp,mismatched,9144,2,I never liked living in this place.,"I guess I want to say that it's been a real positive experience living here, because my, my mother really wants to move back up north because that's where she's from.","I in this case guess I want to say that it's been a real positive experience living here, because my, my mother really wants to move back up north because that's where she's from."
mlp,pp,mismatched,9685,2,"Did you not perform, then?",Did you identify with any of these characters?,Did you which we are talking about identify with any of these characters?
mlp,pp,mismatched,9851,0,Battle Commander Colonel Robert Marr was the one to whom the report of the hijacking was immediately relayed.,"At NEADS, the report of the hijacking was relayed immediately to Battle Commander Colonel Robert Marr.","At NEADSin the scenario , the report of the hijacking was relayed immediately to Battle Commander Colonel Robert Marr."
mlp,pp,mismatched,9924,2,It was very cold all the time.,It was always warm.,It at that instance was always warm.
mlp,pp,mismatched,9983,0,Making money is something that I really like to do.,I like working and making money.,I in the scenario like working and making money.
mlp,pp,mismatched,10288,1,"Somewhere in the middle of VA, she lives there.","And uh, somewhere in the middle of VA.","And uh, somewhere in the middle in this case of VA."
